Site,site_code,Ownership,Ticks,Cameras,County
Wissahickon,WVP,Philadelphia Parks,Y,Y,Philadelphia
West Fairmount ,FPW,Philadelphia Parks,Y,Y,Philadelphia
East Fairmount,FPE,Philadelphia Parks,Y,Y,Philadelphia
Two Gander Farm,TGF,Brandywine Conservancy,Y,Y,Chester
Haverford Reserve,HVR,Haverford Township,Y,Y,Delaware
Harmony Hills,HH,East Bradford,Y,Y,Chester
Gordon Natural Area,GNA,West Chester University,Y,Y,Chester
Morris Park,MP,Philadelphia Parks,Y,Y,Philadelphia
Waterloo Mills East,WME,Brandywine Conservancy,Y,Y,Chester
Waterloo Mills West,WMW,Brandywine Conservancy,Y,Y,Chester
Crum Woods West,CWW,Swarthmore,Y,N,Delaware
Crum Woods East,CWE,Swarthmore,Y,N,Delaware
Blue Bell,BBP,Philadelphia Parks,Y,N,Philadelphia
Square Field,SQR,Brandywine Conservancy,Y,N,Chester
Miller Farm North,MFN,Brandywine Conservancy,Y,N,Chester
Smedley Park,SMD,Swarthmore,Y,N,Delaware